Num_commune,Num_Dep,Nom_Ville,Longitude,Latitude
01284,01,OZAN,4.91667,46.3833
01123,01,CORMORANCHE-SUR-SAONE,4.83333,46.2333
01298,01,PLAGNE,5.73333,46.1833
01422,01,TOSSIAT,5.31667,46.1333
01309,01,POUILLAT,5.43333,46.3333
01421,01,TORCIEU,5.4,45.9167
01320,01,REPLONGES,4.88333,46.3
01119,01,CORCELLES,5.58333,46.0333
01288,01,PERON,5.93333,46.2
01319,01,RELEVANT,4.95,46.0833
01096,01,CHAVEYRIAT,5.06667,46.1833
01431,01,VAUX-EN-BUGEY,5.35,45.9167
01228,01,MAILLAT,5.55,46.1333
01156,01,FARAMANS,5.11667,45.9
01039,01,BEON,5.75,45.8333
01339,01,SAINT-BERNARD,4.73723,45.945
01329,01,ROSSILLON,5.6,45.8333
01304,01,PONT-D'AIN,5.33333,46.05
01269,01,NANTUA,5.61667,46.15
01094,01,CHAVANNES-SUR-REYSSOUZE,5,46.4333
01272,01,NEUVILLE-LES-DAMES,5,46.1667
01162,01,FLAXIEU,5.73333,45.8167
01187,01,HOTONNES,5.68333,46
01386,01,SAINT-SORLIN-EN-BUGEY,5.36667,45.8833
01409,01,SONGIEU,5.7,45.9667
01453,01,VIRIEU-LE-PETIT,5.71667,45.9
01345,01,SAINT-DENIS-EN-BUGEY,5.33333,45.95
01088,01,CHARNOZ-SUR-AIN,5.21667,45.8667
01099,01,CHAZEY-SUR-AIN,5.25,45.9
01233,01,MARCHAMP,5.55,45.7833
01138,01,CULOZ,5.78333,45.85
01230,01,MANTENAY-MONTLIN,5.08333,46.4167
01232,01,MARBOZ,5.25,46.3333
01163,01,FOISSIAT,5.18333,46.3667
01426,01,TREFFORT-CUISIAT,5.36834,46.2714
01193,01,IZIEU,5.63333,45.65
01350,01,SAINT-ETIENNE-DU-BOIS,5.28333,46.2833
01185,01,HAUTEVILLE-LOMPNES,5.6,45.9667
01389,01,SAINT-TRIVIER-SUR-MOIGNANS,4.9,46.0667
01293,01,PEYRIAT,5.51667,46.15
