"intitule","description","dateCreation","lieuTravail.libelle","lieuTravail.latitude","lieuTravail.longitude","lieuTravail.codePostal","lieuTravail.commune","romeCode","romeLibelle","appellationlibelle","entreprise.nom","entreprise.description","entreprise.url","entreprise.entrepriseAdaptee","entreprise.logo","typeContrat","typeContratLibelle","natureContrat","experienceExige","experienceLibelle","secteurActivite","secteurActiviteLibelle"
"Data Engineer - ECOLE DE LA DATA - Promotion 202203 (H/F)","Agir là  où data et digital façonnent l'avenir des entreprises Depuis plus de 25 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés. Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur. Description du poste Pour soutenir ses objectifs ambitieux de croissance et de développement, Business et Decision renforce ses équipes de Data Engineers partout en France. Ce recrutement, en CDI, s'insère dans le cadre de l'Ecole de la Data de Business & Decision. Vous pourrez donc compléter votre formation par un cycle d'enseignement certifiant, unique et exclusif de trois mois, à  la fois académique et opérationnelle, avant d'intégrer les équipes et de participer aux projets innovants des clients. Qualifications Détenteur d'un Master en informatique, mathématiques ou statistiques, tu as au moins 1 ans d'expérience significative sur ce sujet ? Tu souhaites accroître tes compétences et exercer un métier d'avenir centré sur l'innovation ? Tu veux être un pro des outils et plateformes à  la pointe des dernières technologies du marché ? L'Ecole de la Data t'offre toutes ces opportunités. A l'issue la formation, tu rejoindras les équipes opérationnelles pour participer à  la réalisation des projets d'innovation de nos clients. Tu es motivé, tu disposes d'un bon niveau d'Anglais et tu aimes le travail en Equipe ? Postule et viens passer le test d'entrée. Recrutement national : Nantes, Niort, Lyon et IDF Informations supplémentaires Business & Decision est reconnu par le marché et par ses clients comme un prestataire de référence en Data, depuis sa création. Cette reconnaissance est fondée sur : Des équipes d'experts au service des projets clients depuis plus de 25 ans La maîtrise des technologies des éditeurs majeurs et spécialisés du marché L'expérience cumulée dans les projets centrés sur la data : Business Intelligence, Big Data, Data Science. Date de début : début mars 2022","2022-01-19T14:40:28.000Z","44 - NANTES"," 47.239367","-1.555335","44000","44109","M1805","Études et développement informatique","Développeur / Développeuse Big Data","BUSINESS & DECISION FRANCE","AGIR LA OU LA DATA ET LE DIGITAL FACONNENT L'AVENIR DES ENTREPRISES : Depuis plus de 25 ans, Business & Decision (Groupe Orange) s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés. Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. ","https://www.businessdecision.fr/","FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","E","1 an","62","Conseil en systèmes et logiciels informatiques"
"Data Engineer Cloud - Google Cloud Platform F/H (H/F)","Vous avez de l'expérience dans la mise en place des Modern Data Platform dans Google Cloud Platform ? Vous étiez à  l'initiative ou contributeur de projet de mise en place des plateformes de données dans GCP (BigQuery, Dataflow, Dataproc ...) ? Vous êtes familiarisé avec les technologies de transformation de donnée à  grande échelle (Spark, Hadoop) ? Vous avez participé à  l'élaboration de la documentation relative aux architectures technique ou des plateformes Data chez vos clients ? Au sein de VISEO Modern Data Platform, nous recherchons un Data Engineer Cloud - Google Cloud Platform F/H pour intervenir sur nos projets et contribuer au développement de notre activité. Nous sommes des Positive Digital Makers : VISEO a développé un partenariat avec Google depuis 2 ans : un haut niveau d'expertise et de certification sur les différentes solutions Data. De la gestion de l'infrastructure aux applications personnalisées 'cloud-native', en passant par la gestion des données et l'intelligence artificielle.Vos missions : Accompagner et conseiller le client dans son adoption des Modern Data Platform dans Google Cloud Platform (Etude d'architecture, préparation des DAT, FinOps, DevOps) Concevoir des architectures Cloud Data exploitant efficacement les services de données managés de GCPConduire des projets de déploiement des Modern Data Platform (Applications Cloud Native, Migration d'applications existantes) et participer à  la mise en œuvre Etablir des relations de confiance avec les décisionnaires techniques et métiers afin de favoriser l'adoption du Cloud GCP à  long terme au sein de l'entreprise. Fournir une expertise technique approfondie aux équipes projets Assister et former le client sur les usages et outils Data du Cloud GCP Réaliser une veille technologique permanente sur les tendances du marché et les perspectives concurrentielles Votre profil :Vous êtes diplômé d'une formation Bac+5 en informatique.Vous justifiez d'une expertise reconnue et d'une expérience de 2 ans dans un rôle d'e Data Engineer avec une expérience significative sur GCP. Vous possédez une compréhension approfondie des technologies du Cloud Vous avez plusieurs années d'expérience dans la conception d'architecture, la mise en œuvre et/ou le support d'applications hautement distribuées Vous maitrisez les services Data suivants : Cloud Storage, BigQuery, Dataflow, Dataproc, Cloud Function, BI Engine, Workflow, Looker .Vous avez des compétences approfondies dans un ou plusieurs de ces domaines : Opérations / Gestion des systèmes Conception ou développement de logiciels Processus DevOps et outillage Stratégie d'entreprise Infrastructure Cloud (virtualisation, mise en réseau, stockage, base de données) Sécurité et conformité Vous êtes sensibilisé à  la démarche DevOps et connaissez au moins un outil pour la mise en œuvre de Continuous Integration/Continuous Delivery (CI-CD) Vous êtes reconnu(e) pour votre leadership, votre capacité à  pourvoir fédérer des équipes. Vous avez une grande aisance dans la communication orale et écrite alliée à  un esprit de synthèse, de la rigueur et un très bon sens de la formalisation La possession de certifications sur des services GCP est un plus. Intégrer nos équipes Cloud au quotidien, ça veut dire quoi ? Vous ferez partie de la communauté Cloud : la proximité et la taille humaine de notre organisation vous permettront de rendre visible vos initiatives et d'évoquer facilement vos projets. En parallèle, le dynamisme de l'entreprise et sa croissance perpétuelle multiplieront vos opportunités d'évolution. Vous bénéficierez d'un management de proximité par votre mentor tout au long de votre parcours chez VISEO : Votre mentor, consultant expérimenté de votre practice, viendra régulièrement échanger avec vous sur les challenges de votre mission, faire chaque semestre le bilan de vos réalisations et évoquer vos ambitions futures et les moyens de les réaliser. Vous disposerez de multiples moyens pour monter en compétences et découvrir de nouveaux domaines : formations, certifications, Brown Bag Lunchs, ateliers, meet-ups, rencontre d'experts, séminaires techniques. #VISEO SPIRIT : Un management flat qui encourage la communication et la prise d'initiative Des centres d'excellence en IoT / Cloud / Smart Factory Des missions d'audit, d'expertise technique et des POCs Un programme d'apprentissage en e-learning : accès digital academy et 7-speaking Deux jours de télétravail par semaine N'attendez plus, rejoignez VISEO. Devenez un #PositiveDigitalMaker ","2022-01-19T21:51:29.000Z","92 - COURBEVOIE"," 48.897998"," 2.256986",NA,"92026","M1805","Études et développement informatique","Développeur / Développeuse multimédia",NA,NA,NA,"FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","D","Débutant accepté",NA,NA
"Data Engineer H/F","Accompagner l'équipe Data Engineering suite à  un rachat de plateforme du premier groupe media de France. Missions principales : · Maintenir la production de la plateforme hébergeant de nombreux sites fortement visités · Recueillir et implémenter les nouveaux besoins métier · Assurer le suivi des coûts opérationnels Profil recherché : · Etre garant du bon fonctionnement et de la disponibilité des données · Assurer la prévention des dysfonctionnements des données · Contribuer à  la bonne utilisation des données · Google Cloud Platform - Confirmé - Impératif · Big Query - Confirmé - Impératif · Airflow - Confirmé - Important · Gestion de projet - Confirmé - Important · Environnement full Azure Autour du poste : · Equipe de 2 personnes sur la plateforme · 4 jours de télétravail Statut : Cadre Type d'emploi : Temps plein, CDI Salaire  : à  partir de 50  000,00â‚¬ par an Avantages  : * Participation au Transport * RTT * Titre-restaurant Horaires  : * Du Lundi au Vendredi Télétravail: * Oui ","2022-01-19T09:56:56.000Z","75"," 48.859000"," 2.347000",NA,"75056","M1403","Études et prospectives socio-économiques","Data analyst",NA,NA,NA,"FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","D","Débutant accepté",NA,NA
"Data Engineer H/F","LEROY MERLIN, ce sont 23 000 collaborateurs et 140 magasins dédiés à  l'amélioration de l'habitat en France, autour de quatre grands univers : le bricolage, la construction, le jardin et la décoration. Leroy Merlin recrute un Data Engineer H/F à  Lezennes. VOTRE MISSION : Vous êtes le/la premier.e référent.e Data, et à  ce titre vous agissez sur 2 axes : - Architecture - Conception - Réalisation : * Conception et réalisation de plateforme permettant de traiter des volumes importants de données, * Définition, réalisation de l'outillage d'intégrité, de contrôles des datas émanant des produits d'encaissement, * Prise en compte de la gestion de la sécurité de ses données, * Mise en place des outils et processus de supervision, * Mise en place d'outil de data quality et de data profiling. - Animation - Sensibilisation : * Animation de la gouvernance data sur les produits cibles du domaine en collaboration avec l'équipe Data de la plateforme * Sensibilisation à  l'approche Data Driven PROFIL RECHERCHE : - Vous êtes passionné.e par la data, vous avez déjà  une expérience de 2 ans minimum dans ce domaine,- Vous êtes sans cesse à  la recherche de nouveaux moyens pour optimiser ou résoudre des problématiques métiers/opérationnelles concrètes. Vous anticipez et prenez des initiatives !- Vous êtes doté.e de fortes capacités relationnelles et de communication,- Vous savez prendre des risques quand cela est nécessaire et porter vos convictions. Télétravail possible sur 2 jours de la semaine. Postulez dès maintenant ! Type d'emploi : Temps plein, CDI ","2022-01-19T09:49:52.000Z","59 - LILLE"," 50.630992"," 3.045433",NA,"59350","M1403","Études et prospectives socio-économiques","Data analyst",NA,NA,NA,"FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","E","Expérience exigée",NA,NA
"Data Engineer H/F","LEROY MERLIN, ce sont 23 000 collaborateurs et 140 magasins dédiés à  l'amélioration de l'habitat en France, autour de quatre grands univers : le bricolage, la construction, le jardin et la décoration. Leroy Merlin recrute un Data Engineer H/F à  Lezennes. VOTRE MISSION : Vous êtes le/la premier.e référent.e Data, et à  ce titre vous agissez sur 2 axes : - Architecture - Conception - Réalisation : * Conception et réalisation de plateforme permettant de traiter des volumes importants de données, * Définition, réalisation de l'outillage d'intégrité, de contrôles des datas émanant des produits d'encaissement, * Prise en compte de la gestion de la sécurité de ses données, * Mise en place des outils et processus de supervision, * Mise en place d'outil de data quality et de data profiling. - Animation - Sensibilisation : * Animation de la gouvernance data sur les produits cibles du domaine en collaboration avec l'équipe Data de la plateforme * Sensibilisation à  l'approche Data Driven PROFIL RECHERCHE : - Vous êtes passionné.e par la data, vous avez déjà  une expérience de 2 ans minimum dans ce domaine,- Vous êtes sans cesse à  la recherche de nouveaux moyens pour optimiser ou résoudre des problématiques métiers/opérationnelles concrètes. Vous anticipez et prenez des initiatives !- Vous êtes doté.e de fortes capacités relationnelles et de communication,- Vous savez prendre des risques quand cela est nécessaire et porter vos convictions. Télétravail possible sur 2 jours de la semaine. Postulez dès maintenant ! Type d'emploi : Temps plein, CDI ","2022-01-19T09:48:59.000Z","59 - VILLENEUVE D ASCQ"," 50.637916"," 3.147134",NA,"59009","M1403","Études et prospectives socio-économiques","Data analyst",NA,NA,NA,"FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","E","Expérience exigée",NA,NA
"Data Engineer (H/F/NB) - SEMNUM22","Le job : Au sein de la business unit Keyrus Data à  Lyon et pour le compte d'un client clé dans le retail d'équipement domestique, vos missions principales seront les suivantes : - Conception et mise en œuvre de plateformes basées sur des technologies Big Data - Conception et mise en œuvre de flux d'intégration (mode batch ou temps réel) de données structurées/non structurées et volumineuses ; - Optimisation technique et fonctionnelle en termes de performance et de qualité logicielle ; - Prise en charge des tà¢ches de développement sur des projets de Build et intervention sur le maintien en condition opérationnelle du Datalake; - Préconisation d'outils et/ou technologies et veille technologique continue. Vous : - Vous disposez d'un profil Ingénieur Informatique (BAC +5) et avez déjà  réalisé des projets ou missions en tant que Data Engineer. - L'écosystème AWS (S3, Glue, ECS ) - Spark (Scala), Docker et Java sont des compétences requises, (Python et Javascript sont un plus). Vous maitrisez les environnements Linux ou UNIX. - Outils DevOps et déploiement automatisé : Jenkins, Ansible, Cloudformation, Git, Maven. Une connaissance de ces outils (particulièrement Git et Maven) est la bienvenue, mais pas un pré-requis. Une connaissance de ces outils (particulièrement Git et Maven) est la bienvenue, mais pas un pré-requis. Mais aussi nous ne recherchons pas qu'un savoir-faire, nous recherchons avant tout un savoir-être unique : - Votre curiosité est sans faille et vous avez un goût prononcé pour le challenge - Vous bouillonnez d'idées et aimez les mettre en application car vous pensez qu'il est trop facile de s'endormir sur ses acquis - Vous avez un fort esprit d'équipe et d'initiative ","2022-01-18T16:14:08.000Z","69 - LYON 09"," 45.758000"," 4.835000","69009","69389","M1806","Conseil et maîtrise d'ouvrage en systèmes d'information","Consultant / Consultante décisionnel - Business Intelligence","Forum des métiers du numérique","Forum des métiers du numérique Mercredi 2 Février 2022 de 14h à  17h Groupama Stadium de Décines INSCRIPTION OBLIGATOIRE : https://lyonna.is/forum-emploi-numerique Evènement soumis à  la présentation d'un pass sanitaire ou vaccinal (selon réglementation en vigueur au 2/2/22)","https://lyonna.is/forum-emploi-numerique","FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","E","1 an","62","Conseil en systèmes et logiciels informatiques"
"Data Engineer ETL F/H #Banque #Bordeaux","Votre futur environnement de travail Intégrer notre Marché Banque, c'est pouvoir participer à  la transformation digitale de nos différents clients. Forte de ses succès, l'agence de Bordeaux vous offre de participer à  des projets pour le compte de nos divers clients Bancaires mais aussi Défense, Energie, Institutionnels, Vous intégrez une équipe d'une vingtaine de personnes composée de data analyst, data engineer ETL, data engineer reporting et experts techniques. Vous participez à  un nouveau projet d'envergure permettant le maintien en condition opérationnelle et du développement des applications décisionnelles d'un grand groupe bancaire. C'est tentant non ? Alors embarquez pour une nouvelle aventure professionnelle ! Vos missions En tant que Data Engineer ETL vous interviendrez au sein du pôle de notre Centre de Services Data, pour accompagner les projets dans leurs choix techniques. Votre profil d'ingénieur data sera mis à  contribution pour participer la mise en place d'une solution en collaboration avec le client et les équipes de développement. Vous interviendrez dans les domaines suivants : - Compétences techniques : o ETL: DataStage PX o Shell Unix, SQL-PL/SQL - Conception et implémentation d'architectures techniques - Industrialisation des développements : mise en place, accompagnement et audit des méthodes et outils de développement (gestion de configuration, stratégie de build, intégration et déploiement continue, etc.), accompagnement devops - Test : élaborer une vision stratégique de tests Votre profil De formation Bac+ 5 minimum, vous justifiez d'une expérience de développeur ETL et plus largement dans les environnements BI/décisionnel et vous êtes passionné(e) par les nouvelles technologies. Vous avez de bonnes connaissances particulièrement : - Une connaissance forte en Data et plus précisément dans la BI/décisionnel - Un socle commun de compétences techniques : Shell Unix, SQL-PL/SQL - Connaissance de l'agilité Au-delà  de votre expertise technique, vous êtes une personne dynamique, autonome, force de proposition, pédagogue et avec un bon relationnel. Vous avez une capacité de communication vers les autres importantes afin de diffuser vos connaissances ou vos convictions. Nous attendons également un esprit ouvert dans la démarche d'accompagnement des équipes juniors. Vous êtes curieux pour des sujets de veille technologique en relation avec vos domaines d'expertises et ouvert à  d'autres sujets techniques. Vous évoluerez dans des équipes agiles. Vous souhaitez vous investir sur des projets à  forts enjeux sociétaux, alliant challenges et innovation ? Alors intégrez une entreprise où règne un esprit entrepreneurial fort et une atmosphère propice à  votre évolution : participez sans plus attendre à  une transformation durable grà¢ce à  une véritable aventure humaine au sein d'un grand groupe international.","2022-01-18T14:10:30.000Z","33 - MERIGNAC"," 44.833370","-0.674682","33700","33281","M1802","Expertise et support en systèmes d'information","Data manager","SOPRA STERIA","Sopra Steria, leader européen de la transformation numérique, propose l'un des portefeuilles d'offres les plus complets du marché : conseil, intégration de systèmes, édition de solutions métier, infrastructure management et business process services.Fort de 46 000 collaborateurs dans près de 30 pays, le Groupe a réalisé un chiffre d'affaires de 4,3 milliards d'euros en 2020.",NA,"FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","D","Débutant accepté","62","Conseil en systèmes et logiciels informatiques"
"Lead Data Engineer Azure / BI (H/F)","A proposLeader européen de l'enseignement supérieur privé, Galileo Global Education rassemble dans le monde 54 écoles reconnues et certifiées. En forte croissance, le Groupe forme chaque année plus de 170 000 étudiants sur 89 campus dans 13 pays, dans des domaines diversifiés : management, gestion, innovation, digital, arts, design, mode, et plus récemment, la santé. Sa filiale Studi est leader de l'éducation en ligne diplômante.Nos écoles offrent aux étudiants l'opportunité de devenir des acteurs professionnels compétitifs sur le marché du travail. Nos certifications RNCP et Qualiopi, notre reconnaissance internationale ainsi que notre réseau d'entreprises partenaires ont pour vocation de faire vivre à  nos étudiants une expérience professionnalisante, hybridée, multiculturelle et digitalisée. Pourquoi rejoindre Galileo Global EducationRejoindre Galileo Global Education France, c'est travailler avec 3 500 collaborateurs engagés dans une culture du service client, impulsée par une démarche d'entreprise forte appelée Happy Student Maker/Happy School Maker. Fondée sur 3 attitudes de service : Servir, Exiger, Faire grandir, HSM influe sur la culture de management, de collaboration et de coopération. Dans cette dynamique participative nous valorisons l'initiative et l'implication de chacun autour de projets communs. Rattaché(e) à  la branche Delivery de la DSI France de Galileo Global Education, en tant que spécialiste de la donnée, vous allez construire et prendre le lead de la cellule 'data/BI'. Vous aurez à  définir les ressources nécessaires pour cette cellule. Vous aurez un rôle d'encadrement des développeurs BI (qu'ils soient externes ou internes). Cette cellule a pour objectif de répondre aux besoins croissants des métiers transverses et des écoles pour piloter leur activité dans une logique datadriven.Une forte expérience des technologies Microsoft est demandée car les développements devront en majeure partie s'appuyer sur une architecture data Galileo monde, elle-même basée sur Azure et PowerBI. MissionsConstruire le modèle de fonctionnement « Data » pour Galileo FrancePrendre le lead technique sur tous les sujets autour de la dataRecueillir toutes les données de l'entreprise et les organiser pour les rendre exploitablesAider/faire monter en compétences d'autres développeurs sur les sujets/technologies dont vous aurez la responsabilitéContribuer à  définir et maintenir des standards techniques de bonne pratiqueSourcing/Extraction / transformation/mapping de data selon besoin et projets en lien avec l'équipe Business Solutions en charge des projetsTravailler avec les équipes de la Direction des Opérations Techniques et Informatiques pour mettre en place des solutions opérables et performantesPrendre en charge les tickets incidents dans le cadre de l'activité de support de niveau 2intervenir sur des sujets de datamigration induits par nos projets de transformationComprendre les enjeux business et métier à  l'origine des demandesAnalyser les résultats d'une extraction et évaluer la fiabilité de la data sortieMettre en œuvre les rapports PowerBI nécessaires au reporting et pilotage d'activités métiers Compétences requisesVous possédez 3 à  5 ans d'expérience dans la sphère data incluant du lead d'équipes de développement dont au moins 1 à  2 ans sur les technologies MicrosoftVous justifiez d'expériences réelles sur la partie 'technique' avec des connaissances avancées sur les sujets suivants :Microsoft Stockage : blob / Azure Data Lake Storage / Azure Data FactoryProcessing & transformation : ETL / functions / Data FactoryCi/CD Azure DevopsPowerBILanguage SQL, modélisation BDD et de modèles étoileVous comprenez les façons différentes de stocker et de processer la data (fichier plat VS SQL VS noSQL, batch VS flux continu, full VS delta, stateful VS stateless)Nous sommes en recherche d'un profil possédant également les qualités de management nécessaires au poste de Lead Dev BI.Vous justifiez donc également d'expériences sur la partie management/gestion d'équipe.Vous pourrez être amenés à  encadrer un ou plusieurs développeurs.Etre organisé, rigoureux et méthodique.Savoir analyser un problème, proposer plusieurs solutions en sachant en donner les avantages et inconvénientsFaire preuve d'une bonne capacité de synthèseSavoir estimer et expliquer le temps nécessaire pour réaliser un travail.Etre curieux, avoir une forte motivation pour apprendre.Savoir parler/écrire en anglais ","2022-01-18T20:55:53.000Z","75"," 48.859000"," 2.347000",NA,"75056","M1805","Études et développement informatique","Analyste cogniticien / cogniticienne informatique",NA,NA,NA,"FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","D","Débutant accepté",NA,NA
"Data Engineer (F/H) (H/F)","Description du posteDans le domaine de la Grande Distribution, nous recherchons un(e) Data Engineer (F/H) pour une mission située à  Lille. Vos missions seront les suivantes : - S'approprier les process de publication de données - Encadrer les développeurs. - Conseiller les data analysts et data scientists. - Communiquer et échanger avec les équipes d'exploitation (RUN) afin d'établir des solutions durables. - Echanger avec les équipes d'architecture pour être aligné sur les solutions d'entreprise - Conseiller et respecter les solutions techniques vis à  vis de partenaires internes et externesLa liste n'est pas exhaustive.Pré-requis, qualification et responsabilitésDe formation Bac+5, vous justifiez de 5 ans d'expérience sur un poste de Data Engineer. - Vous maîtrisez impérativement Python, Spark, SQL et NoSql. - Vous maîtrisez les infrastructures (AZURE), Databricks. - Des connaissances Stambia, Snowflake serait un plus. - Vous possédez un niveau professionnel en anglais. ","2022-01-18T20:51:01.000Z","59 - TOURCOING"," 50.720784"," 3.157852",NA,"59599","M1805","Études et développement informatique","Ingénieur / Ingénieure de développement informatique",NA,NA,NA,"FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","E","Expérience exigée de 5 An(s)",NA,NA
"Data Engineer (F/H) (H/F)","Description du posteDans le domaine de la Grande Distribution, nous recherchons un(e) Data Engineer (F/H) pour une mission située à  Lille. Vos missions seront les suivantes : - S'approprier les process de publication de données - Encadrer les développeurs. - Conseiller les data analysts et data scientists. - Communiquer et échanger avec les équipes d'exploitation (RUN) afin d'établir des solutions durables. - Echanger avec les équipes d'architecture pour être aligné sur les solutions d'entreprise - Conseiller et respecter les solutions techniques vis à  vis de partenaires internes et externesLa liste n'est pas exhaustive.Pré-requis, qualification et responsabilitésDe formation Bac+5, vous justifiez de 5 ans d'expérience sur un poste de Data Engineer. - Vous maîtrisez impérativement Python, Spark, SQL et NoSql. - Vous maîtrisez les infrastructures (AZURE), Databricks. - Des connaissances Stambia, Snowflake serait un plus. - Vous possédez un niveau professionnel en anglais. ","2022-01-18T20:50:26.000Z","59 - DUNKERQUE"," 51.028093"," 2.346036",NA,"59183","M1805","Études et développement informatique","Ingénieur / Ingénieure de développement informatique",NA,NA,NA,"FALSE",NA,"CDI","Contrat à  durée indéterminée","Contrat travail","E","Expérience exigée de 5 An(s)",NA,NA
