"ID","id_date","id_Ville","id_Exp","id_Contrat","intitule","description"
1,388,35804,2,2,"Data Scientist Financial Services (H/F)","""Le Datalab services financiers et marchands du groupe Carrefour recherche activement dans le cadre de l'essor digital du groupe un ou une :  Data Scientist Financial Services (H/F)  Vous êtes en quête d'une nouvelle aventure data, dès maintenant, et l'univers de l'intelligence artificielle vous passionne ?    Cette mission intervient dans le cadre du partenariat Carrefour-Google pour les cas d'usages data et prend place au cœur du projet dédié à  la transformation digitale.      Vous serez en charge de : Faire le lien entre les données des différents services financiers, et le département fidélité Cerner et analyser les besoins métiers Appliquer des solutions de data science sur des cas d'usages précis  Participer à  la mise en œuvre du POC à  la mise en production Travailler avec différents profils data du groupe (data scientist, data engineer, data architect, data analyst) Assurer le monitoring des modèles en production Contribuer au développement et à  l'amélioration continue des outils data interne Assurer une veille technologique sur les produits data    Vous devrez faire preuve d'une rigueur hors pair, mais aussi d'enthousiasme à  l'idée de travailler en équipe, dans un écosystème data.  Force de propositions, flair, audace et bonne humeur sont indispensables.    Au cours de cette mission vous aurez l'occasion de : participer aux innovations du Groupe Carrefour à  travers l'exploration de sources de données très riches, d'établir de solides modèles de scoring, de contribuer à  l'innovation du Groupe Carrefour.  Parmi les principaux interlocuteurs internationaux et locaux dans le cadre de cette mission, on compte les départements suivants : Data, Marketing, Risque de Crédit, Fraude, Recouvrement, Finance, Commerce, Relation Client, Satisfaction Client  Ce poste vous passionne d'avance : Vous avez une solide formation en Data Science Bac + 5 (Grande Ecole : Centrale, Polytechnique, Mine, ENSAE,.)   Python, R et SQL rythment votre quotidien Les outils de data visualisation n'ont plus de secret pour vous Connaissance et expertise des modèles analytiques avancés (machine learning & deep learning) Notions des différents modèles d'hébergement des données et de leur exploitation (Cloud, Cloudera, etc)   La maîtrise de l'anglais est indispensable  Postulez sans hésitation !nous avons hâte d'échanger sur votre parcours.Une belle aventure vous attend à  l'ère de la digitalisation du Groupe Carrefour.  """
2,388,35932,1,2,"DATA SCIENTIST (H/F)","Recherche: DATA SCIENTIST (H/F) DATA SCIENTIST H/F (NUMÉRO DE L'EMPLOI : . I_CAR_0247)Data Scientist H/FEt concrètement votre quotidien . Vous contribuerez à  des missions d'optimisation de processus de bout en bout en lien avec les équipes métiers sur des thématiques diverses et variées : données comptables, actuarielles, de gestion, sur les actifs et les passifs assurance en multinormes (French, IFRS, S2). es missions seront l'occasion d'imaginer et mettre en place des solutions basées sur les outils d'exploitation et de visualisation de la donnée (Python, SAS, Power. BI) ainsi que sur l'intelligence artificielle afin d'améliorer l'efficacité des processus et la qualité des données produites. ous mènerez certains use-cases de leur définition jusqu'au delivery et à  la passation aux équipes de production. Vous accompagnerez les équipes de production dans leur montée en compétence sur les outils d'analyse de la donnée et de data visualisation en vous appuyant sur les use-cases trai..."
3,388,NA,2,2,"Data Scientist Confirmé - F/H (H/F)","Le Data Scientist R&D aura pour missions de: * Travailler avec les directeurs de programme de R&D, les équipes commerciales et opérationnelles pour spécifier les besoins et formaliser des cas d'usage d'Intelligence Artificielle avec un impact important. * Gérer le développement d'algorithmes de Machine Learning et Data Science avec une analyse et une méthodologie scientifique rigoureuse pour une mise en œuvre efficace des preuves de concepts aboutissant à  des applications concrètes dans les métiers d'Air Liquide. * Contribuer à  sélectionner, tester et comparer de nouveaux objets connectés (IoT), l'Intelligence embarquée, piloter leur amélioration continue pour créer de la valeur par la donnée et grâce aux outils d'Intelligence Artificielle. * S'appuyer sur les équipes IT et la Digital Factory d'Air Liquide pour l'implémentation des prototypes pré-industrialisables intégrant des applications front-end à  destination des utilisateurs finaux. * Gérer des projets de Data Science avec rigueur et efficacité afin de garantir la satisfaction des clients. * Contribuer à  la méthodologie scientifique et la culture de la R&D visant au développement des solutions d'IA de confiance garantissant le bon fonctionnement, la sécurité et la sûreté des systèmes. * Participer aux programmes d'AI-Readiness déployés à  l'échelle du groupe Air Liquide consistant en la montée en compétences des collaborateurs par le coaching, l'acculturation aux données et la vulgarisation de l'Intelligence Artificielle. Profil et compétences * Diplôme d'ingénieur, universitaire ou doctorat en informatique / électronique / physique / mathématiques appliquées obtenu dans une des meilleures universités ou grandes écoles d'ingénieurs avec des solides connaissances en Machine Learning / Deep Learning / Reinforcement Learning / Traitement du Langage Naturel. * Expérience de 2 à  5 ans dans l'implémentation d'algorithmes de Data Science et d'Intelligence Artificielle avec des applications concrètes en industrie. * Des compétences ou une expérience industrielle sur les objets connectés (IoT), l'intelligence embarquée, Edge, seront considérées comme un atout majeur. * Démontrer une bonne maîtrise de l'utilisation d'outils informatiques particulièrement les langages de programmation tels que Python, R * Compétences comportementales: * Capacité à  comprendre et synthétiser les besoins du client (cahier des charges, spécifications) * Bon relationnel, capacité à  travailler en équipe au sein de projets transverses et à  présenter et communiquer ses résultats * Capacité d'adaptation, de travail en multi-projets et d'ouverture d'esprit dans un environnement dynamique * Parfaite maîtrise du français et de l'anglais Informations complémentaires Localisation géographique : France / Ile de France / Les Loges en Josas"
4,388,35932,1,2,"ACTUAIRE / DATA SCIENTIST ASSURANCES COLLECTIVES - 92 (H/F)","Recherche: ACTUAIRE / DATA SCIENTIST ASSURANCES COLLECTIVES - 92 (H/F) Référence de l'offre21123028Type de contrat. CDINiveau d'expérience. Expérimentés. Société du groupe. AXA France. Famille métier. Data Science. Localisation. Votre rôle et vos missions. Vous considérez que la data est précieuse . Vous êtes convaincu(e)s que son exploitation, grâce aux techniques et technologies de Big Data et data science peuvent permettre aux entreprises de mieux connaître leurs salariés, comprendre leur absentéisme et ainsi améliorer la qualité de vie au travail . Ce poste est fait pour vous . Dans le cadre de notre stratégie de développement de services, le Pôle Etudes et Innovation data, composé d'une équipe mixte de 11 actuaires et data scientists, souhaite aller plus loin sur l'offre de Data Map basée sur du « Give Data Back » (restituer les données à  nos clients, de manière pertinente, thématique et comparée). Cette offre a été conçue pour aider les entreprises à  mesurer, analyser et p..."
5,388,28208,2,2,"Data scientist H/F (IT)","Description Vos missions ? Intégré(e) à  nos équipes ou chez nos clients, vous contribuez à  développer et valoriser l'ensemble des données en résolvant des problématiques business concrètes via les technologies liées à  la Data Science (Data mining, Machine learning, Deep learning, etc.). A ce titre, vos missions seront les suivantes : Comprendre et traduire les besoins métiers : Animer et collaborer étroitement avec les experts métier au travers d'ateliers d'idéation pour identifier les problématiques opérationnelles afin de proposer des solutions à  mettre en oeuvre, Analyser et explorer les données : Comprendre, analyser et valoriser les données de différentes natures (Signaux numériques issus de capteur, Images, Evénements, CRM / ERP, etc.), provenant de différentes sources, Définir les modèles : Sélectionner ou créer les modèles mathématiques les plus pertinents et adaptés à  chaque problématique, et réaliser leur apprentissage, Déployer les modèles : Collaborer avec les équipes de Data Ingénierie au déploiement des modèles entrainés en production, et accompagner les équipes de développement produit dans leur utilisation, Analyser les performances des modèles : Assurer la mesure de la performance et le suivi de la dérive des modèles en production. Reporter sur la performance opérationnelle des modèles au travers d'indicateurs clés et les partager avec les directions métiers, Compétences requises : Connaissances solides en probabilités et statistiques (descriptives et inférentielles) , Analyse de données (Data Mining), Méthode de classification supervisée et non supervisée (DBSCAN, Random Forest, boosted trees, etc.) et de Deep Learning, Langage python et SQL, Frameworks pandas, numpy, Scikit-learn, Keras ou Pytorch, Connaissances de l'outil Databricks, Profil Alors ? Prêt à  devenir Amiltonien ? N'hésitez pas à  postuler si vous vous reconnaissez : De formation BAC + 5 en Mathématiques / Data Sciences, ou titulaire d'un doctorat en Mathématiques, vous justifiez d'au moins 2 ans d'expérience en tant que Data Scientist. Vous possédez d'excellentes qualités de communication, d'une grande rigueur scientifique, une ouverture d'esprit et une appétence à  la recherche de nouvelles solutions scientifiques. Vous saurez être autonome, force de proposition et en capacité de prendre des initiatives pour mener à  bien vos missions. Anglais courant (écrit et parlé) Outre vos compétences techniques, nous nous intéressons également à  votre potentiel et votre motivation. Nos postes sont ouverts aux personnes en situation de handicap."
6,388,30438,1,2,"Data scientist - h/f","Stancer est un établissement de paiement français, filiale du groupe Iliad. Nous proposons une suite de solutions permettant à  des entreprises de toutes tailles d'implémenter facilement une solution de paiement innovante, sûre et accessible. Dans le cadre de notre développement, nous recherchons notre futur(e) Data-Scientist pour nous accompagner dans notre lutte contre la fraude aux moyens de paiement. TES MISSIONS Au sein de notre équipe technique, tes missions principales seront : - Mener des études statistiques permettant d'anticiper de potentiels comportements de fraude - Proposer des améliorations des modèles de détection de fraude de Stancer. Tu interviendras pour la lutte contre la fraude sur l'ensemble des moyens de paiement proposés à  nos clients (cartes, virements.). - Effectuer régulièrement un suivi des performances des modèles de machine learning en place afin de les évaluer - Assurer le maintien et l'adaptation des modèles de Stancer - Réaliser une veille technologique puis proposer et coordonner la mise en place de nouvelles technologies ou approches pour anticiper et détecter efficacement la fraude De formation supérieure Bac+4/+5, avec une spécialisation en Data Science / Machine Learning (ou une expérience significative dans ce domaine) : - Tu disposes d'un savoir-faire en matière de machine learning et tu as de solides connaissances des outils de data management et de data science en Python - Tu es capable de réaliser en autonomie des études statistiques et de mettre en place des modèles pertinents face aux comportements mis en lumière - Tu sais rédiger une documentation claire à  l'attention de lecteurs (initiés ou non-initiés) - Tu es autonome, proactif et tu disposes d'une bonne capacité de communication (Une maîtrise de l'anglais est un atout) - Une connaissance générale du secteur de la finance et plus particulièrement de la fraude aux moyens de paiement serait un plus. L'ENVIRONNEMENT TECHNIQUE Langage de développement en Python, base de donnée utilisées MySQL et MongoDB."
7,388,35908,2,2,"Data Scientist Senior H/F","Leader européen de services immobiliers, BNP Paribas Real Estate couvre l'ensemble du cycle de vie d'un bien : Promotion, Transaction, Conseil, Expertise, Property Management et Investment Management. Avec 5 000 collaborateurs, BNP Paribas Real Estate accompagne localement propriétaires, locataires, investisseurs et collectivités dans 30 pays (à  travers ses implantations et son réseau d'alliances) en Europe, au Moyen-Orient et en Asie. BNP Paribas Real Estate, une société du Groupe BNP Paribas, a réalisé 759.1 Mâ‚¬ de revenus en 2020. Pour plus d'informations : http://www.realestate.bnpparibas.com/ Nous recherchons un(e) : Data Scientist Senior H/F Poste en CDI - basé à  Issy-les-Moulineaux (92) A ce titre, votre mission principale est de : - Promouvoir la culture data dans l'ensemble de l'entreprise - Mettre en avant les approches scientifiques et les bénéfices associés au service de BNPP RE Votre quotidien est : - Conseiller les métiers lors d'animation d'ateliers : identification et cadrage de leurs besoins en étant en force de proposition - Apporter votre expertise data et expérience en gestion de projet aux data scientists juniors de l'équipe - Identifier les indicateurs clés et évaluer le ROI (gain et cout) - Traduire les questions business (business cases) en problème analytics - Produire des analyses statistiques avancées incluant du clustering, prédiction, scoring, optimisation et natural-language processing - Développer et contribuer à  rendre les modèles prédictifs explicatifs et superviser la mise à  disposition de nouveaux outils ou algorithmes dans les processus opérationnels - Piloter le ML Engineer dans l'industrialiser les POV/MVP développés et gérer leur cycle de vie - Contribuer à  l'évolution de l'écosystème data : agrégation, transformation des sources de données internes/externes en collaboration avec data engineer et IT - Mise en place de la base de connaissance pour capitaliser sur les travaux menés - Réaliser une veille active à  des fins de R&D (techniques d'optimisation, Machine learning et pattern recognition, Deep learning, NLP, IOT, OCR, Document intelligent) Le data scientist senior échangera régulièrement avec les data scientists du groupe BNPP sur des problématiques projets dans un objectif de capitalisation croisée. Il contribuera également à  l'animation de la communauté Data de BNPP RE ainsi qu'aux ateliers métiers. Environnement de Travail : Vous serez rattaché(e) au Chief Data Officer et intégré(e) au département Data Science & Analytics Office qui est constitué d'une équipe avec des compétences pluridisciplinaires, passionnée, motivée avec un esprit d'équipe et d'initiative. Le département « Data Science & Analytics office » est amené à  jouer un rôle clé dans la stratégie data de l'entreprise et dans la conception des solutions transverses aux lignes de métiers, aux fonctions et aux pays. Apports de la mission : Riche en diversité et en échanges avec les différentes lignes de métier, fonctions et différents pays, ce poste vous permettra d'instaurer une relation de confiance auprès de vos interlocuteurs, tout en développant vos compétences techniques dans l'apprentissage de sujets différents. La promesse de travailler sur des sujets innovants et variés ! Profil recherché : Vous disposez d'une formation Bac+5 école ou équivalent universitaire avec une spécialisation en data science, mathématiques appliquées ou statistiques. Vous avez minimum 3 ans d'expériences dans l'implémentation de projets data science. Vous êtes convaincu qu'un data scientist ne fait pas du clic bouton et que la préparation des données est une étape cruciale, que le développement de nouvelles fonctions est challengeant. Ce poste est fait pour vous ! Vous parlez anglais couramment. Compétences techniques : - Maitrise de chacune des étapes d'un projet data science - Mathématique, statistiques, probabilité - Manipulation des données digitales, et non structurées - Industrialisation - Langage de manipulation de données : Python et py-spark - Connaissance de dataiku est un plus - Intégration continue Compétences comportementales : - Esprit critique - Rigueur et précision - Capacité à  collaborer - Capacité à  partager/transmettre des connaissances - Capacité à  résoudre des problèmes"
8,387,12679,1,2,"Data Scientist H/F","Au sein de THALES Bordeaux-Mérignac, la cellule IA est la structure qui englobe les activités liées à  la gestion de la donnée avec des savoir-faire sur le BigData, la Business Intelligence, l'Algorithmie et la Datascience. Afin d'accompagner notre croissance et compléter nos compétences en DataScience, nous recherchons un(e) DataScientist qui saura proposer, mettre en oeuvre et promouvoir les solutions (projets d'intégration, R&T, POC, POV, MVP, passage à  l'échelle et industrialisation). QUI ETES-VOUS ? De formation Bac+5, vous avez une bonne connaissance des domaines suivants : * Machine learning en général (classification supervisée, clustering, apprentissage par renforcement et modèles multi-agents) et le deep learning en particulier (architecture Feed-Forward, réseaux CNN, RNN, Mécanisme intentionel) * Le Big Data (BDD NoSQL) et les frameworks de distribution des traitements (Spark, DASK, RAY, FLINK) * L'intelligence artificielle. Il est attendu que cette connaissance soit théorique et pratique acquise au travers d'expériences professionnelles probantes. µ Vous avez également : * Une bonne maîtrise d'au moins un des langages de développement clés pour le data scientist : Jupiter, Dataiku, Python, Scala, Java. CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE : Vous aurez comme principales missions : * Conception/développement de pipeline d'alimentation de Datalake et construction/structuration de dataset d'apprentissage sur des infrastructures BigData * Conception et développement d'algorithmes de machine learning et/ou deep-learning ou IA * Développement de visualisations graphiques permettant de valoriser les résultats des algorithmes * Participer aux avants ventes dans votre domaine de compétences : analyse des besoins, contribution aux proposition techniques (rédaction, maquettage, production de rapport, spécifications d'algorithme et contribution aux chiffrages de la partie technique. Présentation client. * Conception, développement et mise en production d'algo dans différents contexte applicatifs (NLP, ComputerVision, Maintenance Prédictive) * Participation à  l'intégration des plateformes techniques sécurisées développées par Thales, faisant appel aux meilleurs technologies actuelles : Welcome - The Punch (punchplatform.com) * Capitalisation, formation, Animation de communauté technique * Encadrement technique de profils juniors ou stagiaires * Participer au rayonnement technique IA en interne et externe Thales (Présentation, articles, conférences, meet-ups.) * Veille technologique Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd'hui. Type d'emploi : Temps plein, CDIStatut : Cadre Salaire  : 40  000,00â‚¬  à   55  000,00â‚¬  par an Avantages  : * Épargne salariale * Horaires flexibles * Participation au Transport * RTT * Titre-restaurant * Travail à  Distance Horaires  : * Travail en journée Rémunération supplémentaire  : * Prime annuelle Mesures COVID-19:Port du masque obligatoire + télétravail Question(s) de présélection: * Prétentions salariales"
9,387,30438,2,2,"Junior Data Scientist H/F","Wakeo propose une plateforme Saas de visibilité en temps réel sur les flux de transport B2B internationaux. La société s'inscrit dans l'univers du transport maritime, aérien et routier qui est au cœur du commerce et des échanges mondiaux. Sa mission est d'apporter de la transparence dans un secteur peu efficient où les nouvelles technologies apportent des ruptures majeures. Wakeo collabore avec les plus grandes entreprises internationales pour les aider à  optimiser leurs flux de transport et améliorer l'expérience client. Fondée en 2016, la société travaille pour des grands comptes internationaux comme Air Liquide, Hilti, B. Braun, Faurecia ou Uniqlo. Wakeo a levé 11 millions de dollars avec des investisseurs internationaux comme Promus Ventures, 360 Capital Partners, Techstars and 50 Partners. Votre mission En tant que « Data Scientist » vous serez en charge de la création, l'amélioration et le maintien de notre plateforme pour nos clients via la manipulation des données et le machine learning. Dans ce cadre, vos missions seront les suivantes : * Collecter les besoins métiers, les structurer, et identifier les solutions techniques pour y répondre. * Créer des modèles statistiques basés sur des techniques de machine learning et de deep learning dans le but d'affiner les dates et heures d'arrivées des marchandises sur des flux porte-à -porte. * Mettre à  l'échelle les modèles au fur et à  mesure que la volumétrie des données client augmente. * Développer des outils et des applications web pour faire interagir les modèles prédictifs avec les autres micro-services de Wakeo. * Réaliser de la veille technologique sur les nouveaux algorithmes pouvant répondre aux enjeux de data science de Wakeo. Votre profil * Diplômé(e) d'un Bac+5 en école d'ingénieur, vous avez une première expérience significative en tant que Data Scientist idéalement acquise dans un environnement B2B SaaS et dans la construction de modèles de Machine Learning. * Expérience dans la création, la maintenance, les tests et l'optimisation de pipelines ML. * Compétences de programmation en Python et maîtrise des bibliothèques de programmation scientifique. * Bonne compréhension des concepts d'apprentissage en profondeur et expérience avec les librairies du type Tensorflow, Pytorch, etc. * Vous êtes passionné(e) du monde de la data, êtes doté(e) d'excellentes capacités d'analyse et de synthèse. * Vous êtes rigoureux(se) et attentif(ve aux détails. * Vous appréciez le travail en équipe et faites preuve de proactivité. * Un bon niveau d'anglais (oral et écrit) est un pré-requis indispensable, vous évoluerez dans un contexte particulièrement international.Tous nos postes sont ouverts aux personnes reconnues en situation de handicap. Pourquoi rejoindre Wakeo ? * Nous sommes une start-up en pleine expansion avec de belles opportunités à  venir. Rejoignez une aventure entrepreneuriale excitante et prometteuse ! * Vous rejoindrez des collaborateurs motivés et ambitieux, avec un fort esprit d'équipe * Vous évoluerez dans un environnement challengeant, où chacun est autonome et responsable * Vous travaillerez dans un cadre canon (et on ne vous parle même pas du rooftop) Information pratique * Localisation : Platform58, dans le 9ème, Paris Statut : Cadre Type d'emploi : Temps plein, CDI Salaire  : à  partir de 35  000,00â‚¬ par an Avantages  : * Participation au Transport * RTT Horaires  : * Du Lundi au Vendredi Télétravail: * Temporairement en raison du COVID-19"
10,387,4421,2,2,"Data Scientist Product Manager H/F","Descriptif du poste : Au travers de solutions de consolidation et d'enrichissement des données, Linxo Group est un acteur incontournable du traitement des informations financières. A ce titre, Linxo Group enrichit continuellement son portefeuille de produits innovants axés sur le traitement des données. Rattaché(e) au Directeur Produit et en collaboration avec l'ensemble des départements du Groupe, vous pourrez notamment : * Mener des recherches qualitatives et quantitatives pour comprendre les besoins utilisateurs (data driven research). * Collecter et analyser les données pour optimiser l'utilisation et la conversion. * Comprendre les besoins aussi bien business que techniques et leurs implications. * Construire et faire évoluer la vision produit sur la base de ces éléments et données, ainsi que l'analyse de la concurrence et des feedbacks des équipes (techniques comme métier). * Concevoir la stratégie et définir la roadmap associée pour s'assurer de construire les bonnes fonctionnalités au bon moment. * Travailler en étroite collaboration avec les équipes internes tout au long du cycle de conception et développement. * Garantir la qualité et la conformité des nouvelles fonctionnalités. * Mesurer et analyser les performances des fonctionnalités et des produits dans une démarche d'amélioration continue. * Assurer la bonne communication et l'implication de l'ensemble des collaborateurs autour de vos projets. * Expliquer des concepts complexes avec des mots simples et être à  l'aise pour présenter ses idées auprès de la direction et des clients. *Votre profil * Vous disposez d'une formation dans un domaine pertinent (Data, Produit) et d'une expérience de 5-7 ans dans le pilotage et la gouvernance de données opérationnelles * Vous faites preuve de leadership, de capacité à  fédérer et à  conduire le changement. * Vous justifiez de connaissance des technologies relatives à  l'exploitation des données (Java, Python/R, BDD), à  la plateforme AWS. * Vous êtes à  l'aise avec les notions d'anonymisation, de chiffrement et de protection des données. * Vous êtes autonome et orienté action. * Vous êtes familier de la ""Data Science"", du ""Machine Learning"", de l'""Open Data"" ou encore de la ""Data Analytics"". * Vous disposez d'une expérience dans l'écriture de User Stories et de leurs critères de finalisation. * Vous démontrez une grande sensibilité à  la satisfaction client. * Anglais courant. Le sens de l'écoute, la capacité à  formuler les besoins, la posture de facilitation, la force de proposition, la communication et le leadership sont les qualités requises pour ce poste.* Votre mission chez Linxo Group Créée en 2010, Linxo Group est une Fintech localisée à  Aix-en-Provence, à  Paris et à  Sophia-Antipolis. Notre groupe distribue plusieurs services et notamment : Linxo, l'assistant financier intelligent n °1 sur mobile. La seule façon de gérer son argent de manière « smart & simple » pour les particuliers et les pros; Oxlin, une solution « SAAS » distribuée à  nos partenaires BtoB (quelques clients qui nous font confiance: Crédit Agricole, LCL, BforBank, HSBC, MAIF, KPMG, INTUIT-Quickbooks.). Notre Groupe, qui est en forte croissance, a l'ambition de relever de nombreux challenges et notamment de se positionner à  l'international. Les levées de fonds réalisées et notre association avec le Groupe Crédit Agricole nous permettent d'accélérer encore Aujourd'hui composée de 105 collaborateurs, Linxo Group valorise une culture d'entreprise où l'esprit d'équipe est essentiel. Envie d'embarquer dans la fusée Linxo Group ? Rejoignez-nous ! Les Plus Linxo Group * Travailler en toute autonomie, organiser vos horaires * àŠtre force de proposition dans un environnement hiérarchique « flat » * Assister aux démonstrations d'outils développés en interne ou à  des formations par des collaborateurs * Vous dynamiser en participant à  des activités sportives diverses et variées : course à  pied dans la colline Aixoise, vélos, partir « grimper » ou rejoindre une session de Crossfit avec Muriel et Justine ! * Participer aux soirées jeux de sociétés * Et bien d'autres. à‡a vous parle ? Vous êtes à  deux doigts de rejoindre l'entreprise de vos rêves ! Il s'agit d'un CDI à  pourvoir dès que possible à  Aix-en-Provence ou Sophia Antipolis. Notre entreprise est engagée dans une politique en faveur de la diversité, de l'égalité professionnelle et de l'intégration et du maintien dans l'emploi des personnes en situation de handicap. Statut : Cadre Type d'emploi : Temps plein, CDI Salaire  : 45  000,00â‚¬  à   65  000,00â‚¬  par an Télétravail: * Temporairement en raison du COVID-19"
