"categorie","nom_region","nom_departement","nb"
"DATA SCIENTIST","Hauts-de-France","Nord",6
"DATA ANALYST","Hauts-de-France","Nord",54
"DATA ANALYST","Ile-de-France","Hauts-de-Seine",25
"DATA SCIENTIST","Ile-de-France","Paris",17
"DATA ANALYST","Ile-de-France","Paris",48
"DATA ENGINEER","Ile-de-France","Seine-Saint-Denis",2
"DATA SCIENTIST","Guyane","Guyane",1
"DATA ANALYST","Nouvelle-Aquitaine","Gironde",38
"DATA ANALYST","Auvergne-Rhône-Alpes","Haute-Savoie",7
"DATA ENGINEER","Nouvelle-Aquitaine","Gironde",16
"DATA ENGINEER","Auvergne-Rhône-Alpes","Rhône",3
"DATA ENGINEER","Occitanie","Hérault",4
"DATA ENGINEER","Ile-de-France","Hauts-de-Seine",20
"DATA ANALYST","Occitanie","Hérault",9
"AUTRE","Ile-de-France","Paris",8
"AUTRE",NA,NA,13
"AUTRE","Occitanie","Haute-Garonne",6
"AUTRE","Occitanie","Hérault",8
"DATA ANALYST","Occitanie","Haute-Garonne",25
"DATA SCIENTIST","Ile-de-France","Val-de-Marne",2
"DATA SCIENTIST","Provence-Alpes-Côte d'Azur","Alpes-Maritimes",14
"DATA ENGINEER","Pays de la Loire","Loire-Atlantique",8
"DATA SCIENTIST","Auvergne-Rhône-Alpes","Rhône",5
"DATA ANALYST","La Réunion","La Réunion",5
"DATA ANALYST","Occitanie","Ariège",1
"AUTRE","Ile-de-France","Yvelines",2
"DATA ANALYST","Ile-de-France","Essonne",13
"AUTRE","Ile-de-France","Hauts-de-Seine",7
"DATA SCIENTIST","Occitanie","Tarn-et-Garonne",2
"DATA ENGINEER","Auvergne-Rhône-Alpes","Isère",4
"DATA ANALYST","Auvergne-Rhône-Alpes","Rhône",16
"AUTRE","Pays de la Loire","Mayenne",1
"AUTRE","Ile-de-France","Val-de-Marne",1
"DATA ANALYST","Ile-de-France","Val-d'Oise",1
"DATA ANALYST","Auvergne-Rhône-Alpes","Isère",7
"AUTRE","Auvergne-Rhône-Alpes","Rhône",5
"DATA SCIENTIST",NA,NA,40
"AUTRE","Provence-Alpes-Côte d'Azur","Var",3
"DATA ANALYST","Grand Est","Aube",1
"AUTRE","Normandie","Manche",1
"DATA ENGINEER","Ile-de-France","Paris",7
"DATA ANALYST","Centre-Val de Loire","Indre-et-Loire",12
"DATA SCIENTIST","Auvergne-Rhône-Alpes","Ardèche",1
"DATA ENGINEER","Occitanie","Haute-Garonne",65
"DATA ENGINEER",NA,NA,21
"AUTRE","Provence-Alpes-Côte d'Azur","Alpes-Maritimes",5
