"","categorie","intitule_offre","description_offre"
"1","DATA SCIENTIST","DATA SCIENTIST (H/F)","Description du poste :
Nous recherchons un Data Scientist F/H.
En détails, ça donne quoi ?
D'une vue d'équipe, le Data Scientist est au service des pôles métiers Clients/Ventes/Produit/Supply afin de délivrer des solutions Data faisant appel à la Data Science.
Cela passe par la compréhension des enjeux et la production de solution de façon agile avec une cible industrielle, en s'assurant de la mise en place de ""Standards"" de développement pour fiabiliser le fonctionnement et la maintenance.
Plus précisément, il fait parler les données et se charge de les valoriser (traiter), puis d'en fournir une interprétation claire.
Pour aller encore plus loin, il crée des algorithmes utilisant du Machine Learning.
Dans le cadre de son travail il doit leur apporter des analyses et doit donc être familier avec l'entreprise, ce qu'elle fait et les enjeux économiques des résultats qu'il délivre.
Ces résultats doivent d'ailleurs être compréhensibles et adaptés aux métiers pour les aider dans leur prise de décision.
Il doit être en contact avec les métiers, côté business.
Il intervient sur des sujets plus techniques d'optimisation et d'industrialisation d'algorithmes pouvant aller jusqu'à la mise en production.
> Vos missions :
* Explorer et analyser les données disponibles, produites et valorisées.
* Développer et faire évoluer des solutions ""Data Core Model"" (algorithmes, outils de datavisualisation et de simulation).
* Contribuer aux dashboards de pilotage et de mesure de performance avec des KPI métiers.
* Réaliser des kits de déploiements (support de la méthodologie, spécifications techniques, pré-requis Data Quality...).
* Contribuer aux supports de présentation des solutions et des spécifications fonctionnelles.
* Déployer et adapter légèrement ces solutions dans les différents pays.
* Partager son expertise au sein de l'équipe Data et des pays.
* Accompagner dans la prise en main du service (vulgariser les solutions data, faire preuve de pédagogie...).
* Contribuer à accompagner les pays dans l'utilisation des solutions Data, leur professionnalisation et dans la résolution des incidents.
Description du profil :
> Compétences métier/technique
* Connaissance de l'entreprise et de ses organisations (connaissance du Retail : comprendre la façon dont le Retail fonctionne et comment les données peuvent être analysées et utilisées, maintenir la flexibilité face aux développements de Big Data).
* Expertise en langage de requête SQL.
* Expertise en statistique (modélisation, prévision, économétrie...).
* Expertise en Machine Learning (feature engineering, apprentissage supervisé ou non supervisé, réseau de neurones, text-mining, NLP,...).
* Expertise en langage pour la Data Science comme Python.
* Identifier le bon algorithme lié aux cas d'utilisation business.
* Connaissance sur le traitement en batch.
* Connaissance des principes et de l'utilisation du versionning Git.
* Connaissance des concepts et des finalités d'optimisation et d'industrialisation d'algorithmes.
* Environnement Cloud Computing, idéalement Google Cloud Platform.
* Maîtrise de l'anglais.
> Habilitations requises
* Expérience en Data Science, y compris sur le développement d'algorithmes, idéalement pour le secteur de la distribution.
* Master ou Ph.D Statistiques, Mathématiques, Econométrie, Informatique, Big Data, Computer Science. "
"2","DATA ANALYST","DATA ANALYST (H/F)","Description du poste :
Auchan Retail a créé en 2015 une équipe internationale et multidisciplinaire de Big Data (data scientist, data analyst, data manager, project manager, IT engineer, etc.)
Le but de cette équipe est de développer l'utilisation des données dans le commerce Auchan Retail pour tous les pays (12 principalement en Europe et en Asie) et toutes les entreprises (on line et offline - hyper, super et magasins de proximité).
Vous jouerez un rôle clé dans le développement de cette activité en relation avec différentes business units et dans l'exploration de nouveaux cas d'utilisation et de nouvelles technologies. Vous aurez la charge d'accompagner les acteurs dans les pays pour le déploiement des différents services data.
Vous travaillerez au sein d'un département orienté métier, sur les enjeux ""Client"", Parcours de vente, Produits ou Supply, en charge de définir les solutions nécessaires à leurs enjeux ( algorithmes, reportings et outils data plus généralement).
Nous recherchons un Data Analyst Senior Client & Ventes
> Vos missions :
Vous êtes le garant de l'adoption des solutions data par le pays à court, moyen et long terme, pour cela vous serez amené à :
* Accompagner les utilisateurs dans les pays dans leur prise d'autonomie sur les sujets Data
* Identifier les nouveaux besoins Pays pour alimenter la backlog projet du Product Owner de la Solution
* Concevoir, voire réaliser certaines solutions data ne nécessitant pas l'implication d'un Data Scientist, comme des reportings et outils d'aide à la décision
* Etre le référent des solutions du département (connaissance métier et technique) dans le cadre de leur déploiement
  - Réaliser la GAP analysis et planifier les actions d'upgrade qui permettront de déployer la solution dans le pays
  - Construire la roadmap de déploiement avec le pays dans le cadre d'un projet data autonome
  - Accompagner le déploiement de bout en bout du service data pour les pays dans le cadre d'un programme déployant un outil plus global
* Réaliser la formation et l'évaluation du pays sur le service
* Suivre l'adoption de la solution par le pays (niveau d'utilisation)
* Être support de niveau 1 sur la solution, pour répondre aux questions des utilisateurs
* Suivre les alertes, faire une première analyse du problème et qualifier le niveau de la maintenance corrective.
Description du profil :
De formation supérieure, Bac+5 (Écoles d'ingénieur, Formation universitaire Statistiques / Mathématiques / Econométrie), vous justifiez d'une expérience d'au moins 5 ans dans la modélisation de la donnée, idéalement dans/pour le secteur de la distribution.
Les compétences attendues sont les suivantes :
* Une bonne connaissance du monde du retail et de l'utilisation opérationnelle de la data
* Bonne connaissance des méthodes statistiques classiques
* Gestion de projet data
* Capacité d'analyse et de synthèse.
* Excellente capacité d'écoute et de communication.
* Le goût de la transmission et de la pédagogie
* Leadership permettant de susciter l'adhésion.
* Connaissance sur les technologies GCP serait un plus
* Python, SQL, la connaissance Tableau Software serait un plus.
* Maîtrise de l'anglais
Langues :
* Français / Anglais "
"3","DATA ANALYST","DATA ANALYST - H/F","DATA ANALYST

Au sein de la Direction Achats du Groupe, rejoignez le Département Outils Méthodes et Performance en tant que Data Analyst et participez à la transformation de la fonction Achats !

En pleine transformation digitale, vous soutenez le service en étant garant de la qualité des données et des reportings. Vous êtes responsable de l'extraction, intégration et surveillance des paramètres achats.

Vous établissez les KPI et les synthèses soutenant les activités opérationnelles du service achats.

Plus précisément, votre rôle s'articule en 5 axes principaux

 * UTILISATION ENRICHISSEMENT DES DONNÉES

Prise de connaissance et utilisation des données de l'entreprise dans une logique de self-service.

A cet effet, vous utiliserez les données du datalake d'entreprise, d'applications métier dédiées et serez amenez à les enrichir (ex : web scraping)

 * DATAVIZ, REPORTING ET ANALYSE DES DONNÉES

A l'aise sur le traitement des données, vous réalisez :

 * Des analyses ad hoc pour répondre à des sollicitations particulières (ex : question spécifique, sollicitation dans le cadre de réponse à appel d'offres, etc.)
  * Des viz et du reporting à destination de la communauté des acheteurs. Vous participez à la définition, création et mise en place d'indicateurs pertinents pour le pilotage de la performance des achats

 * DATA MANAGEMENT ET CATALOGUE ACHATS

Vous participez à la mise en cohérence des données, en lien avec les domaines du SI et plus généralement vos actions participent à la démarche de data management.

Vous êtes associé spécifiquement à la gestion, la pertinence et la cohérence des données du catalogue fournisseur, sujet central unifiant dans un catalogue Dalkia la diversité des catalogues fournisseurs. Ce catalogue constitue un véritable référentiel pour les collaborateurs de Dalkia, source de gains et d'optimisation au niveau des achats.

 * ANIMATION DE LA COMMUNAUTÉ DES ACHETEURS

De par votre position centrale dans l'utilisation des données pour les achats, vous assurez aussi un rôle dans la conduite du changement. Ainsi, vous vous assurez de la bonne utilisation / déploiement des reportings / analyses que vous mettez en place. Vous mettez des indicateurs en place à cet effet.

Vous êtes également associé au déploiement des nouveaux outils des systèmes d'information (ex : Ivalua).

 * TECH

Présentant un intérêt pour les outils de traitement des données, vous travaillez avec le souci d'optimiser vos tâches et celles de vos collaborateurs. Vous utilisez les bons outils et veillez à automatiser les tâches qui peuvent l'être.

 

 


COMPÉTENCES REQUISES

Issu(e) d'une école d'ingénieur, vous avez une première expérience d'au moins 3 ans dans le développement de base de données. 

Vous avez une appétence pour la fonction Achat et êtes intéressé(e) par l'évolution de son métier. 

Vous maîtrisez les outils 

 * Business intelligence - Tableau
  * Développement (Python / Pandas)
  * SQL
  * Ivalua
  * Excel / Google sheet

De nature curieux(e), votre excellent relationnel vous permet de travailler en transverse avec différents métiers de l'entreprise (informatique, finance etc ...)

 

 

 "
"5","DATA SCIENTIST","DATA SCIENTIST (H/F)","Description du poste :
Qui sommes-nous ?
Mydral est une entreprise qui aide ses clients à mieux comprendre leurs données. Nos clients viennent de divers secteurs d'activités, par exemple Logistique, Transport, Banque, Assurance, etc.
On les accompagne sur toutes leurs problématiques métiers avec une expertise sur la compréhension et l'automatisation des processus métiers, la data gouvernance, la business science, le reporting, le dashboarding, le data journalisme, la stratégie business.
Dans notre offre de services, on propose la Création des centres de compétence Analytics, le Cadrage de projet Analytics, le Pilotage projet, la Préparation de données, la Data Visualisation, l'Intégration plateforme Analytics, la Formation, le Support & TMA.
Nos 3 principales valeurs sont : Excellence, Esprit de corps, Pionnier.
Vous souhaitez travailler dans une entreprise qui allie l'humain à la data ?
Rejoignez-nous ! Nous avons hâte de VOUS onboarder.
Quelles sont les missions proposées ?
Sous la supervision du Directeur Conseil, vos tâches seront les suivantes :
* Animer des ateliers client
* Modéliser des processus métiers / Comportements à partir des données sourcées
* Créer des KPIs et Dashboards prédictifs pour le métier
* Comprendre les besoins métier et proposer des solutions idoines
* Mise en place des workshops sur les conclusions tirées des analyses, etc.
* Participer à des projets d'enablement des projets Marketing, de création de contenus / events / webinars sur des sujets liés à la Data ;
* Utiliser des outils tels que Tableau ou DataRobot ;
* Développer des algorithmes et des régressions logistiques de Machine Learning ;
* Participer à l'élaboration, au développement, au test et à l'optimisation des modèles de prédiction et de recommandation ;
* Utiliser des méthodes ML adaptées aux grosses volumétries (out-of-core online learning.) ;
* Participer à l'intégration des algorithmes au sein d'applications dites d'Intelligence Artificielle (DataRobot) ;
* Participer à des projets clients avec un binôme ou en groupe.
Quel est le profil recherché ?
Passionné de la Data et diplômé d'un BAC+5 en Ecole d'ingénieur (EISTI, Polytech, Télécom ParisTech, MIAGE, etc.)
Expérience d'au moins 3 ans (hors stage et alternance) sur le cycle de valorisation de la donnée avec de fortes compétences en modélisation (Analyse de données, modélisation statistique.) et réalisation d'applications décisionnelles.
Vous avez de bonnes connaissances techniques sur les outils de Data Preparation, de Data Science, de Stockage de la donnée et de Data visualisation, etc.
Vous avez développé un fort sens du service, un bon relationnel avec vos clients et la rigueur nécessaire au succès de vos projets.
Qualités indispensables pour réussir chez Mydral : smart, réactif, autonome, rigoureux, fiable, organisé et SYMPA !
Qu'en est-il de la rémunération et autres avantages ?
* Package global selon profil
* Mutuelle groupe (Malakoff Humanis) ;
* Congés annuels à vingt-cinq jours ouvrés de congés, auxquels s'ajoutent 10 jours de récupération (à l'année) ;
* Carte Swile
* Le forfait de transport Navigo est pris en charge à hauteur de 50 % ;
* Remboursement de 30 euros/mois sur la facture de votre téléphone portable ;
* Onboarding personnalisé à votre arrivée ;
* Plan d'évolution avec plusieurs certifications à passer
On a hâte de VOUS onboarder ! "
"7","DATA ANALYST","DATA ANALYST (H/F)","Vous travaillez en étroite collaboration avec notre directeur technique Oscar (de l'ENS), notre chef des opérations Pierre, notre responsable financier Etienne et nos développeurs Matthieu et Yann. L'équipe BI est actuellement composée de 2 personnes. En raison de notre croissance (x4 par an), ce nombre est susceptible d'augmenter assez rapidement.

Vos missions:
Développer et maintenir des tableaux de bord SQL, pour surveiller les données et analyser les performances.
Extraire et interpréter des données pour les besoins de l'entreprise
Former vos collègues sur l'extraction et l'interprétation des données
Identifier de nouvelles fonctionnalités pour faire évoluer notre produit en fonction des usages et des besoins.
Chaque fois que vous serez confronté à des tâches récurrentes ou à des points sensibles, vous serez chargé de trouver et de mettre en œuvre des solutions pour y remédier et aider l'entreprise et l'équipe à passer à l'étape suivante.

Avantages

un environnement de travail agréable dans le Sentier
50% de remboursement de votre Pass Navigo
50 % d'assurance santé fournie par Alan   
Politique de convivialité à distance   
Dîner basique un jeudi sur deux   
café et fruits
une équipe d'escalade et de football

Chaque équipe a une réunion quotidienne.
Chaque lundi après le déjeuner, nous avons une réunion hebdomadaire où chaque équipe peut partager ce qu'elle a fait la semaine précédente et ce qu'elle fera la semaine suivante.
Chaque trimestre, nous avons notre réunion OKR où chaque équipe peut montrer comment elle a travaillé sur son OKR et quel sera son prochain OKR.
Au cours de toutes ces réunions, chacun peut se lancer des défis.
Expérience souhaitée
Vous vous reconnaissez dans ce qui suit :

- Vous êtes analytique et croyez fermement que toute affirmation doit être étayée par des données.
- Vous avez une bonne connaissance de SQL
- Vous avez une certaine expérience des bases de données relationnelles, de préférence basées sur le cloud.

Si vous souhaitez travailler avec une équipe ambitieuse qui veut devenir le numéro 1 du marché dans un environnement au rythme soutenu, vous êtes à la bonne adresse!  .

Processus de recrutement
Test d'entrée
Appel vidéo de 20 minutes avec notre Claire RH
Entretien d'une heure en face à face avec notre CTO Oscar
immersion chez Stockly pour rencontrer toute l'équipe (sur place ou à distance)
Vérification des références"
"8","DATA ENGINEER","POEI DATA ENGINEER  POWER BI  (H/F)","Vous êtes demandeur d'emploi et vivement intéressé par les métiers de l'IT ? Rejoignez Inetum en intégrant une formation d'une durée de 3 mois environ afin d'acquérir les compétences clés qui vous ouvriront la possibilité de démarrer votre carrière professionnelle au sein d'un grand groupe et dans un métier en plein essor.

Après une période de formation chez notre partenaire ORSYS (formation qui démarrera le 3 Janvier 2022) et une incubation sur projet pendant 1 mois (inséré dans votre parcours de formation), vous rejoindrez, en CDI, notre Business Line Application Services Ile-de-France, sur un poste de Data Engineer. Les compétences acquises durant cette formation vous permettront de participer à des projets ambitieux au sein de nos clients grands comptes et d'évoluer constamment sur les métiers de l'IT.

Les candidats retenus bénéficieront d'une formation intensive avec une spécialisation sur PowerBI dans le cadre du dispositif POEI (Préparation Opérationnelle à l'Emploi Individualisée) avec le Pôle-Emploi avec une période d'incubation sur projet incluse dans cette période de formation.

Au sein de l'équipe Data, en tant que Data Engineer, vous participez à la réalisation de divers projets et vos missions sont :

Apporter votre connaissance en Big Data permettant la manipulation des données
Concevoir les plateformes permettant de traiter des volumes de données importants
Mettre en place des bases de données
Préparer le pipeline de données pour que les données déployées soient sécurisées et claires afin d'être analysées et transformées.
Vous souhaitez donner un autre tournant à votre carrière, et cette offre vous intéresse ? Envoyez-nous votre CV et lettre de motivation."
"9","DATA SCIENTIST","INGÉNIEUR OU INGÉNIEURE DATA SCIENTIST/DEVOPS  (H/F)","Sous l'autorité de Stéphanie LOPEZ, l'ingénieur.e data scientist participe à l'amélioration d'algorithmes IA existants pour la détection de nodules pulmonaires dans les scanners thoraciques. Dans ce contexte, il/elle doit être également en mesure d'identifier des articles pertinents de l'état de l'art.  
En partenariat avec le Data Manager, il/elle doit être capable de formuler les problèmes rencontrés avec les données pour améliorer la qualité des bases de données. 

Activités principales

-	Mettre en œuvre et maintenir divers pipelines internes pour accélérer et simplifier la livraison de la recherche à la production. 
-	Effectuer des tests rigoureux et une analyse des performances de chaque version 
-	Planifier différents travaux lourds en termes de calcul 

Profil recherché :
-	Diplôme dans un domaine pertinent (maths, informatique...) 
-	Compréhension de base des statistiques 
-	Vision holistique des applications ML/AI en tant que produit logiciel. 
-	2-3 ans d'expérience pertinente (recherche ML/ML en production) souhaitable 

Compétences et qualités requises :
-	Programmation : maîtrise de Python 
-	Contrôle de version, outils de couverture/analyse de code : Git ou analogue. 
-	Frameworks ML/AI : expérience de tensorflow  
-	Virtualisation : Docker 
-	Script d'automatisation : bash, Python - pipelines CI/CD : Jenkins, gitlab, etc. 
-	ML en production serait un plus : tensorflow serving  
Il s'agit d'une opportunité passionnante si vous êtes :  
-	Autonome, pratique, pro-actif, avec une attitude positive. 
-	Vous êtes collaboratif, vous prenez des initiatives, mais pas de manière isolée 
-	Vous avez un sens aigu des responsabilités, vous vous sentez responsable de votre travail et de prise d'initiatives. 
"
"10","DATA ANALYST","DATA ANALYST   (H/F)","Intégré(e) dans une équipe existante, voici vos missions : 

- Activités autour de la BI
- Extraction de données et support
- Contrôle de la cohérence des données et tests


Compétences recherchées : SQL, maîtrise d'un langage de programmation, maîtrise d'un outil de visualisation de données (SAP, Tableau ), connaissance et utilisation d'un environnement Cloud (GCP, AWS...), maîtrise ou connaissance d'un ETL"
"11","DATA SCIENTIST","DATA SCIENTIST   (H/F)","Organisme de formation, Centre de Formation des Apprentis et Bureau d'études, nous recrutons un Bac +5 minimum en économétrie, analyse des données, comptabilité, sciences de gestion, école de commerce ou de management. Vous aurez à réaliser des études et valoriser des outils de gestion à destination d'entreprises partenaires dans le cadre d'actions d'accompagnement à la transition numérique des socioprofessionnels guyanais concernant leurs besoins en gestion comptable et financière, en communication, en commerce et vente. Afin de mieux accompagner notre structure, vous serez formé(e) en double compétence pour valider un Bac+2 ou un Bac+3 à 4 dans une de nos spécialités (Conception développement d'applications, Transport et Logistique, Comptabilité Gestion RH, Banque /Finance, Commerce/Vente). Vous intégrerez notre équipe sur, à terme, des fonctions de chef de projet chargé de développement. Le poste est à pourvoir au plus tôt. Les recrutements en apprentissage sont possibles dans le cadre de notre CFA."
"12","DATA ANALYST","BUSINESS ANALYST - DATA ANALYST BANQUE FINANCE (H/F)","Vos principales missions consisteront à :
    - Identifier, analyser et formaliser les besoins des Métiers
    - Réaliser les analyses d'impacts fonctionnels et réglementaires
    - Rédiger de la documentation fonctionnelle (note de cadrage, user stories, spécifications fonctionnelles, dossiers de     paramétrage, stratégies de recette, plan de test )
    - Participer à la conception et à la réalisation de la recette fonctionnelle et applicative
    - Assurer le pilotage projet : organiser, animer et restituer les ateliers et cérémonies fonctionnelles nécessaires au bon avancement des projets
    - Veiller à la qualité des données (ex : documentation des dictionnaires de données, contrôles qualité sur les données des projets gérés )
    - Apporter un support aux Métiers / Utilisateurs
    - Participer aux cérémonies projets (méthode agile, SAFe ) et appuyer les Métiers/PO dans leurs rôles opérationnels

Vous interviendrez principalement dans des environnements méthodologiques Agile.

Profil :

De formation BAC +5 idéalement en école d'ingénieur ou Master Finance, vous détenez une expérience d'au moins 3 ans sur des fonctions similaires.
Vous présentez une expérience réussie au sein de la Banque, de la Finance ou en Assurance dans une des spécialités ci-dessous :
 La gestion du risque et de réglementation prudentielle (Risque de crédit/contrepartie, Risque de liquidité, Risque de marché, Risque opérationnel, réglementation bâloise ). L'expérience dans le ou les secteurs ci-dessus est obligatoire
 La Fonction Comptabilité - Finance (Contrôle de gestion, Rapprochement Finance - Risque, Comptabilité, Reporting : réglementaires, financiers )
 La Gestion Actif-Passif (ALM)Le Financement structurés/Titrisation
    Les Crédits (Prêts, Crédit-Bail, Trésorerie, Consommation...)
    La Gestion d'actif (Asset Managent)
    Le Data management (Gouvernance, dictionnaire, Reporting Décisionnel...)
    L'Assurance (IARD, vie ou non-vie, prévoyance, retraite, santé...)

Savoir-être :

Vous êtes moteur et êtes orienté résultats.
Vous avez le sens du contact et maîtrisez les standards du métier du conseil pour évoluer en position de manager, travailler en équipe et en clientèle (notamment en faisant preuve de rigueur, d'exigence et de qualité dans la fourniture des livrables).
La maîtrise de l'anglais est indispensable.
"
