id_Ville,Num_Dep,Nom_Ville,Longitude,Latitude
1,1,OZAN,4.91667,46.3833
2,1,CORMORANCHE-SUR-SAONE,4.83333,46.2333
3,1,PLAGNE,5.73333,46.1833
4,1,TOSSIAT,5.31667,46.1333
5,1,POUILLAT,5.43333,46.3333
6,1,TORCIEU,5.4,45.9167
7,1,REPLONGES,4.88333,46.3
8,1,CORCELLES,5.58333,46.0333
9,1,PERON,5.93333,46.2
10,1,RELEVANT,4.95,46.0833
11,1,CHAVEYRIAT,5.06667,46.1833
12,1,VAUX-EN-BUGEY,5.35,45.9167
13,1,MAILLAT,5.55,46.1333
14,1,FARAMANS,5.11667,45.9
15,1,BEON,5.75,45.8333
16,1,SAINT-BERNARD,4.73723,45.945
17,1,ROSSILLON,5.6,45.8333
18,1,PONT-D'AIN,5.33333,46.05
19,1,NANTUA,5.61667,46.15
20,1,CHAVANNES-SUR-REYSSOUZE,5,46.4333
21,1,NEUVILLE-LES-DAMES,5,46.1667
22,1,FLAXIEU,5.73333,45.8167
23,1,HOTONNES,5.68333,46
24,1,SAINT-SORLIN-EN-BUGEY,5.36667,45.8833
25,1,SONGIEU,5.7,45.9667
26,1,VIRIEU-LE-PETIT,5.71667,45.9
27,1,SAINT-DENIS-EN-BUGEY,5.33333,45.95
28,1,CHARNOZ-SUR-AIN,5.21667,45.8667
29,1,CHAZEY-SUR-AIN,5.25,45.9
30,1,MARCHAMP,5.55,45.7833
31,1,CULOZ,5.78333,45.85
32,1,MANTENAY-MONTLIN,5.08333,46.4167
33,1,MARBOZ,5.25,46.3333
34,1,FOISSIAT,5.18333,46.3667
35,1,TREFFORT-CUISIAT,5.36834,46.2714
36,1,IZIEU,5.63333,45.65
37,1,SAINT-ETIENNE-DU-BOIS,5.28333,46.2833
38,1,HAUTEVILLE-LOMPNES,5.6,45.9667
39,1,SAINT-TRIVIER-SUR-MOIGNANS,4.9,46.0667
40,1,PEYRIAT,5.51667,46.15
41,1,EVOSGES,5.5,45.9583
42,1,PONCIN,5.4,46.0833
43,1,CRANS,5.21667,45.9667
44,1,MONTREAL-LA-CLUSE,5.57084,46.1867
45,1,CLEYZIEU,5.43333,45.9
46,1,LOMPNIEU,5.65,45.9667
47,1,VILLEREVERSURE,5.38333,46.1833
48,1,SAINT-MARTIN-DU-MONT,5.33333,46.1
49,1,SAINT-GENIS-POUILLY,6.01667,46.25
50,1,BOLOZON,5.48333,46.2
51,1,CONFRANCON,5.06667,46.2667
52,1,LOCHIEU,5.71667,45.9333
53,1,CHANOZ-CHATENAY,5.03333,46.1833
54,1,VILLEBOIS,5.43333,45.85
55,1,CEIGNES,5.5,46.1167
